BLOCK_NUMBER,BLOCK_TIMESTAMP,TX_HASH,ORIGIN_FROM_ADDRESS,ORIGIN_TO_ADDRESS,EVENT_INDEX,VAULT_NUMBER,COLLATERAL_TYPE,URN_ADDRESS,DEBT_TO_COVER_AMOUNT,COLLATERAL_LIQUIDATED_AMOUNT,DAI_REPAYED_AMOUNT
12327886,2021-04-28T08:40:16Z,0x5144a1e2259d589968d4b3f2d2924188c01051f5d32a26900faf83e297836ff8,0xa8162ebe6170d30219e0e251fca451d454c19f98,0xa5679c04fc3d9d8b0aab1f0ab83555b301ca70ea,156,21348,ETH-B,0x8de952e01ac7d6341ff016ee76a97fc884880502,42818.63979,22.16923381,44247.78761
12327912,2021-04-28T08:46:58Z,0xdec59151bd3f42099e4892e359055b430466be6cf6221fa8cf9a1c969a0db245,0x1acb45ed8939f76d110aa0e16bb57cac548e5af0,0x999ac4018e4b6ac38f575ccf728a85e11e0e2bbd,12,21348,ETH-B,0x8de952e01ac7d6341ff016ee76a97fc884880502,42818.59275,22.16920946,44247.78761
12327885,2021-04-28T08:39:43Z,0xdf26ee6caf98db3cbeef69e9db566a3653e08f902ce5fca5163715a9742ac7f9,0xa8162ebe6170d30219e0e251fca451d454c19f98,0xa5679c04fc3d9d8b0aab1f0ab83555b301ca70ea,102,21348,ETH-B,0x8de952e01ac7d6341ff016ee76a97fc884880502,42818.64365,22.16923581,44247.78761
12327833,2021-04-28T08:31:34Z,0x8861f3c4cd196b3245136fc04e5096953f94569130583af1dc58c154ae374879,0xa8162ebe6170d30219e0e251fca451d454c19f98,0xa5679c04fc3d9d8b0aab1f0ab83555b301ca70ea,51,21348,ETH-B,0x8de952e01ac7d6341ff016ee76a97fc884880502,42818.70087,22.16926544,44247.78761
12327709,2021-04-28T08:03:36Z,0x24886009887a3a808489584e53e3bf6c0dcd04fd450cf257b7b6b0778c5d0441,0x7a6ea19cdd0b2962aaf87fa8e2e4593d4030fd4c,0x999ac4018e4b6ac38f575ccf728a85e11e0e2bbd,8,21348,ETH-B,0x8de952e01ac7d6341ff016ee76a97fc884880502,42818.89721,22.16936709,44247.78761
12327705,2021-04-28T08:02:36Z,0x1f0c2ff0636f30361735eb7d959a97ac060d7c0b916f3fa7d019de1488dfbf8b,0x7a6ea19cdd0b2962aaf87fa8e2e4593d4030fd4c,0x999ac4018e4b6ac38f575ccf728a85e11e0e2bbd,23,21348,ETH-B,0x8de952e01ac7d6341ff016ee76a97fc884880502,42818.90423,22.16937073,44247.78761
12327960,2021-04-28T08:55:41Z,0x2d9a3efa87135403c50cc14c16dd13c6e88455dfb18e3e29407da2194e67eaa7,0x1acb45ed8939f76d110aa0e16bb57cac548e5af0,0x999ac4018e4b6ac38f575ccf728a85e11e0e2bbd,58,21348,ETH-B,0x8de952e01ac7d6341ff016ee76a97fc884880502,42818.53155,22.16917778,44247.78761
12327833,2021-04-28T08:31:34Z,0xa118e5195af4cf07b2a0ab9641b506c5b2a1467c77a80815faa29215b8b56618,0xa8162ebe6170d30219e0e251fca451d454c19f98,0xa5679c04fc3d9d8b0aab1f0ab83555b301ca70ea,36,21348,ETH-B,0x8de952e01ac7d6341ff016ee76a97fc884880502,42818.70087,22.16926544,44247.78761
12327905,2021-04-28T08:45:19Z,0xce266db73a4082997c9608710a4d9ff82daa575623784a0b8bd51522245fd24d,0x7a6ea19cdd0b2962aaf87fa8e2e4593d4030fd4c,0x999ac4018e4b6ac38f575ccf728a85e11e0e2bbd,13,21348,ETH-B,0x8de952e01ac7d6341ff016ee76a97fc884880502,42818.60433,22.16921546,44247.78761
12327852,2021-04-28T08:34:50Z,0x74acf0c63af1a376648f985a9ecf6ad78d965162dfb2bf0246a14564f7b55978,0xa8162ebe6170d30219e0e251fca451d454c19f98,0xa5679c04fc3d9d8b0aab1f0ab83555b301ca70ea,5,21348,ETH-B,0x8de952e01ac7d6341ff016ee76a97fc884880502,42818.6784,22.16925381,44247.78761
