BLOCK_NUMBER,BLOCK_TIMESTAMP,VAULT_NUMBER,ILK,URN_ADDRESS
11552706,2020-12-30 02:43:27.000,18600,ETH-B,0xe1df468ab04f2e165d0457c41a4d2a80b80176aa
11502627,2020-12-22 10:07:00.000,18306,ETH-B,0x7817d443f12cc802090227377303a5dccc71f84f
11472449,2020-12-17 19:06:00.000,18109,ETH-B,0xa1c5524b29d0772ac14c519e06091acbc67f7d98
11723950,2021-01-25 09:12:14.000,20181,ETH-B,0x6d633324797b5fc0e0f8de0e66fcf0149c7f8b69
11632625,2021-01-11 08:50:55.000,19278,ETH-B,0x6aea676ddcd40e21e22c40057967224ac949e4eb
11492840,2020-12-20 22:06:09.000,18239,ETH-B,0x5982e96882869364735251555bef452d393aa5a5
11542206,2020-12-28 11:40:18.000,18530,ETH-B,0xc66b54382fc253d3f1a5deb215502340f9637d59
11718185,2021-01-24 12:00:10.000,20111,ETH-B,0xb6b5b4cc8e74e4d9c1465a296b0c5781d9e3a013
11597956,2021-01-06 01:01:02.000,18982,ETH-B,0x1c070fbb5319ea6c3cf13b3cef6a18370564e029
11479475,2020-12-18 20:56:52.000,18149,ETH-B,0x71f169efa6281591d5a45e2d087f001b8bc1c710
11682108,2021-01-18 23:06:48.000,19797,ETH-B,0x56d10e2ce8f5fe7e13161ee6c31a794c6dba1b2c
11539366,2020-12-28 01:26:29.000,18502,ETH-B,0x323a9285fcbc5b136f08ec6ad0278ff0b2abbad0
11683334,2021-01-19 03:39:15.000,19806,ETH-B,0x3b84de2dd3d1b251a26761254693831a8f3c609f
11547176,2020-12-29 06:06:23.000,18560,ETH-B,0x893f4bbe9d9b59419465734380d0f1cf931f0d1e
11468310,2020-12-17 03:47:05.000,18088,ETH-B,0x4e5b3af6fed4d237ce9e246629f27db982dbcfe0
11731250,2021-01-26 12:22:31.000,20255,ETH-B,0x5b53c295380c62956c449d139f76906f4a5bedf4
11638139,2021-01-12 05:07:41.000,19335,ETH-B,0xa5999374e5fba335dbc52a9ce8c79f834ae4858c
11579633,2021-01-03 05:41:48.000,18833,ETH-B,0x3654e86f96e8b42e388cb823d7c05b7b78f53949
11641820,2021-01-12 18:32:22.000,19376,ETH-B,0xf869870be5460c74c28752927f19df5c19b632d0
11548103,2020-12-29 09:28:22.000,18568,ETH-B,0x98ce252e32c170a6a159c234287f3d4894bcee24
11704867,2021-01-22 10:51:32.000,20006,ETH-B,0xdb9dc96056ac4fa506642d0f2500166246509a62
11555136,2020-12-30 11:33:31.000,18619,ETH-B,0xd8cb65cd0d179aba5d8b143e1f2fef9cc059d5b6
11564478,2020-12-31 21:59:51.000,18688,ETH-B,0x1db4faa9ced8810231c909012020150963180233
11479180,2020-12-18 19:54:53.000,18145,ETH-B,0x25cc1c46018f137dbe19a994d0aa64afb5278517
11755088,2021-01-30 04:19:28.000,20391,ETH-B,0x2621132957f8c9f1fbd4567d584394e5ccf05aa7
11688429,2021-01-19 22:17:41.000,19862,ETH-B,0xd302b6eebf1167a62813c69d1b4366f6f752c8d5
11603883,2021-01-06 22:55:41.000,19017,ETH-B,0xe9ae1e7a5ffee9bc5b938dc3bb5a07c442ef72bf
11650487,2021-01-14 02:08:29.000,19474,ETH-B,0x167a6dcb504645eadccb5686ca0a572ac4638e7d
11560950,2020-12-31 08:57:36.000,18669,ETH-B,0x1b7de2bd475c7e9b5772de3c8acba2f58840aa87
11690269,2021-01-20 05:06:16.000,19886,ETH-B,0x93b3d4d18a3eca77dafaf85c2517bb36d0c3b170
11575439,2021-01-02 14:04:20.000,18782,ETH-B,0xc892a535bdeb858214027516c954895155000acf
11583752,2021-01-03 20:36:01.000,18875,ETH-B,0x2c01c7073c2443d91ceaa398809b4c9ce6ca11ce
11615038,2021-01-08 15:58:16.000,19120,ETH-B,0x78a8509b7892b000bfcc392ce32d0e8672be303e
11498699,2020-12-21 19:44:43.000,18277,ETH-B,0x79f20c6d8aab2ef5b4d74fa7a8afcdc899e90fc1
11651263,2021-01-14 05:02:40.000,19484,ETH-B,0x6ffb1307c8f1b6de53cdbb26e2ffdb18e9144ac0
11636182,2021-01-11 21:50:24.000,19311,ETH-B,0x160d3dd335a33605d839f2cc4fb5a9c87dbc5a3b
11718190,2021-01-24 12:00:58.000,20112,ETH-B,0xc1479e890c1135cbcaca51ac2e69552d7652c79e
11603904,2021-01-06 23:00:32.000,19018,ETH-B,0xb7d510949e4817c31e8facc4ab27cfe0b582bace
11765566,2021-01-31 18:59:08.000,20440,ETH-B,0x38dd9f7f44cb09342f0da7a8cb5492716409c0a0
11600769,2021-01-06 11:36:54.000,18993,ETH-B,0x96d35aa8aa54b5e7b4c0013210a6272b2c6303bb
11683540,2021-01-19 04:24:30.000,19811,ETH-B,0xab2f6bc59fbaf59b0d233db80254ce6d829541a6
11594480,2021-01-05 12:28:56.000,18955,ETH-B,0xad045903ca296109766218038f3fdddb721e2cec
11594303,2021-01-05 11:44:59.000,18947,ETH-B,0x32d305a28f5c91155fac0fd7ad964c8f63f6e121
11489824,2020-12-20 10:55:00.000,18218,ETH-B,0x780fbdb10be1a7a1262dcaf1e8d35b41a2ba4164
11497808,2020-12-21 16:16:45.000,18263,ETH-B,0x6ab5641ad280a0881d649e0a12878e35ca21f8dd
11718178,2021-01-24 11:58:27.000,20110,ETH-B,0x524dbdbaa6fc9524dddbf6879ea67ef534d3c198
11590142,2021-01-04 20:23:23.000,18918,ETH-B,0x43c103c59b9328b8c45ed6e3c7b6127fa0cf8de0
11493150,2020-12-20 23:14:34.000,18241,ETH-B,0x3c4bc8161e03aeee677c2a4605ef344e237dc7e0
11573487,2021-01-02 06:58:53.000,18771,ETH-B,0x87f3dd41f2d08cfe139a5cdcad68960410e41d87
11540562,2020-12-28 05:48:22.000,18519,ETH-B,0x821321cf6b70936abdec4bb1b6adf3a51f546047
11509490,2020-12-23 11:19:05.000,18339,ETH-B,0xe3ce183b3691110667b1fe786877d329d26b1a48
11468635,2020-12-17 04:57:06.000,18093,ETH-B,0x4d0b36a0da702e14327a42c8411c605390cb097f
11491791,2020-12-20 18:17:12.000,18231,ETH-B,0xa7ac3a7ec298cf328394bdcebfd4da42511a3974
11544017,2020-12-28 18:22:18.000,18542,ETH-B,0x851811267a609b32e4edac40d15eaaebe6938e9b
11661037,2021-01-15 17:15:42.000,19586,ETH-B,0xdea29e0678c9cec50caf8dbdf2336a11192f2ff6
11647222,2021-01-13 14:41:50.000,19434,ETH-B,0x1dd29e465f06381246caf94d348fd1a218a0b1b2
11634774,2021-01-11 16:45:24.000,19295,ETH-B,0x78418a9176db11a521c5a63eb77aa4fae54b124d
11576595,2021-01-02 18:22:56.000,18794,ETH-B,0x7f27f1bc4f6f8cc1be928ea1aa89a4e17a9e023f
11613522,2021-01-08 10:26:28.000,19106,ETH-B,0xa72343f87e2942aab7bd1337023c633d6501b328
11558631,2020-12-31 00:20:56.000,18645,ETH-B,0xb771f0c812400ecf692a096e4d4246222b33f410
11453998,2020-12-14 23:01:58.000,18026,ETH-B,0xdd329f6c89c1462328cfbd8173a5f33fdfc3f02b
11688593,2021-01-19 22:53:41.000,19864,ETH-B,0xd5204abf7570fd6fa88c5ba60e6941aa6029be2e
11578448,2021-01-03 01:07:09.000,18816,ETH-B,0x623689b30dd6a32417072625d394ff5b84f4ec14
11641455,2021-01-12 17:16:57.000,19370,ETH-B,0x4c43be828c28ea1f3d673da0648ad0cb394303f0
11567628,2021-01-01 09:41:16.000,18708,ETH-B,0x6f321000b264035ada1e3f135edb5d33312a6f59
16390751,2023-01-12 12:33:59.000,30040,ETH-B,0x0172692c5e31ae0162262243d188c20a2debc558
16370487,2023-01-09 16:37:59.000,30029,ETH-B,0x3f290fb20df8dbee503762a52a4c4fcb06c753da
12492482,2021-05-23 19:31:01.000,24131,ETH-B,0x29ab5780fb183e98c8351ab6615ec0ae861582ee
12700033,2021-06-25 00:16:50.000,24800,ETH-B,0x2e18519aff4dc113cf5dec6fb5c9b37d9be63aa5
13168790,2021-09-05 23:45:30.000,25545,ETH-B,0x2ba928c5fb9f3a12f25fa240f2de311a20f4e5e6
12972198,2021-08-06 15:28:13.000,25229,ETH-B,0xae5f0f9219fa15384886cf3525cbafcf829eb29e
13493081,2021-10-26 12:44:58.000,26250,ETH-B,0x8278375adbd82579abaceb49ac0780ecb0ff2269
12796765,2021-07-10 01:45:27.000,24981,ETH-B,0xb2e4cb6b928c2d3b1f6cca0eac3ac27acb07dd6c
12594700,2021-06-08 15:31:26.000,24484,ETH-B,0x5e19c479ce4952a08b16cb4a1a0f26801185b42a
13540957,2021-11-03 01:23:49.000,26344,ETH-B,0x701866986947ea645252f74643e4a3f8c08b8b46
13464067,2021-10-21 23:47:48.000,26181,ETH-B,0xf082919ad8aaedfbf6df65ec9e2119428b83f620
13333725,2021-10-01 13:27:56.000,25891,ETH-B,0x7f19ce9458d2214168e065a07e0840f2b73bd4fa
13003786,2021-08-11 12:09:13.000,25281,ETH-B,0x10675df5f13e3a6837bbcc3e129aef79231aa75a
13531039,2021-11-01 11:58:07.000,26322,ETH-B,0x2f2cb2478f713ee9245e3da9fc436bfb94fa6694
13684175,2021-11-25 15:07:09.000,26695,ETH-B,0x8e06e4710f2011fa93c1ed5f01ec47ea46c55d06
12747154,2021-07-02 08:37:35.000,24894,ETH-B,0xf673a6d19e74b6d421f9d4df005f382976cb7231
12759895,2021-07-04 08:08:26.000,24923,ETH-B,0x7a2185bc803aea7afe7a527cac6723de32a7c601
12796709,2021-07-10 01:33:35.000,24980,ETH-B,0x48e9cb988cc983fe61970696560eb22f9ba2c1d3
13384463,2021-10-09 12:12:50.000,25990,ETH-B,0xb8e3c0cb1fcf5a00d443adedc194d09a1b8f3415
13109526,2021-08-27 20:10:20.000,25454,ETH-B,0xc5b66332c7ac3c9259f7f95f9e17191b5afd90e6
13391197,2021-10-10 13:42:34.000,26017,ETH-B,0xd589afbb86fa1ab725046f79ed7f8f37812789d2
12555787,2021-06-02 15:08:32.000,24352,ETH-B,0x4e048be49ad9f3058c4a84f36af48558fe356b89
12913329,2021-07-28 08:11:07.000,25143,ETH-B,0xdb4e802f65a51239dd9f05ea15172750f939d0e4
12864186,2021-07-20 15:19:04.000,25066,ETH-B,0x41225232fb0445c9062487e314810c7b37030cab
13238882,2021-09-16 20:18:14.000,25706,ETH-B,0xd6a2f56aa80fe8bc06ca2bdf517c7d58b6bd1f43
13149806,2021-09-03 01:29:25.000,25512,ETH-B,0xb9d6b084ee779f01fff3513ec79cc327578a8749
12479753,2021-05-21 20:06:57.000,24055,ETH-B,0x6655edc52e5e3994273060976ad05891ce4d9986
13813034,2021-12-16 00:38:29.000,26967,ETH-B,0xfea347e86ffafae3f30cf1b40b219ff5de7b2f01
13719877,2021-12-01 07:54:16.000,26784,ETH-B,0x5c1644fa983fc9b60caaf7d7737b020e3b7afd5d
13738342,2021-12-04 06:43:54.000,26817,ETH-B,0x57343aed0b330c75f387f92c93dfd42719858895
12863415,2021-07-20 12:31:55.000,25061,ETH-B,0x806a7f14a4a6ea890169046fbe31f92566ed2f2f
12510038,2021-05-26 12:48:40.000,24245,ETH-B,0x5964eeaffc5abe599b78cea49148d5647fa9695b
