"day","dai_minted","dai_repaid","sum_dai","dai_delta","dai_outstanding","TO_VALUE","implied_revenue","price","RSI","rsi_status"
2021-03-29,116604.85,128350.434562732,0,-11745.584562732,49622363.9761691,0.09,12235.6513913842,1689.036798,48.2979231235247,"in-between"
2021-03-30,156012.827077632,169192.919751903,0,-13180.092674271,49609183.8834949,0.09,12232.4015055193,1817.626388,56.3879401471746,"in-between"
2021-04-01,8600,26450.709859944,0,-17850.709859944,49591333.1736349,0.09,12227.9999606223,1915.832536,61.6195312780055,"in-between"
2021-04-02,73566.15,89106.086545086,0,-15539.936545086,49575793.2370898,0.09,12224.1681954468,1970.4712,64.2333288659846,"in-between"
2021-04-03,50105.932,57494.851709983,0,-7388.919709983,49568404.3173798,0.09,12222.3462700389,2134.101788,70.6743950436885,"Overbought"
2021-04-05,0,23610.972820588,0,-23610.972820588,49544793.3445593,0.09,12216.5243863297,2077.755212,64.4711759504171,"in-between"
2021-04-06,118870.245543956,132937.563605206,0,-14067.31806125,49530726.026498,0.09,12213.0557325611,2097.796383,65.2575077942437,"in-between"
2021-04-07,12200,25479.503556781,0,-13279.503556781,49517446.5229412,0.09,12209.7813344239,2115.055452,65.9562884707482,"in-between"
2021-04-08,0,6783.558250113,0,-6783.558250113,49510662.9646911,0.09,12208.1086762252,1989.148062,56.9563308957004,"in-between"
2021-04-09,1899176.38554946,1917327.70057369,0,-18151.315024222,49492511.6496669,0.09,12203.6330095069,2081.354063,61.1384554238747,"in-between"
2021-04-11,65535.360401504,87540.423553728,0,-22005.063152224,49470506.5865147,0.09,12198.2071035242,2142.796065,63.5528714593966,"in-between"
2021-04-12,68072.31117012,76284.055150689,0,-8211.74398056901,49462294.8425341,0.09,12196.1822899399,2150.265143,63.874925411735,"in-between"
2021-04-13,179887.962433378,197266.773141789,0,-17378.810708411,49444916.0318257,0.09,12191.8971037378,2142.476276,63.2473017707125,"in-between"
2021-04-14,2130,6838.294068523,0,-4708.294068523,49440207.7377572,0.09,12190.7361545155,2304.343516,69.87253079983,"in-between"
2021-04-15,121411.566940415,138318.074775861,0,-16906.507835446,49423301.2299217,0.09,12186.567426556,2429.661528,73.8089693379609,"Overbought"
2021-04-16,0,9659.385587439,0,-9659.385587439,49413641.8443343,0.09,12184.1856602468,2514.168416,76.0787695597071,"Overbought"
2021-04-18,2956827.47739365,2984500.01404609,0,-27672.5366524411,49385969.3076818,0.09,12177.3622950448,2345.266963,63.7564873347069,"in-between"
2021-04-19,143954.462497297,153691.039485937,0,-9736.57698864001,49376232.7306932,0.09,12174.9614952394,2245.760753,57.6038721785146,"in-between"
2021-04-20,279215.879964391,289781.70415079,0,-10565.824186399,49365666.9065068,0.09,12172.3562235222,2168.032727,53.278720957391,"in-between"
2021-04-21,1685355.234281,1699735.76634084,0,-14380.532059839,49351286.374447,0.09,12168.8103389047,2324.284687,59.8113183980692,"in-between"
2021-04-22,0,11212.37645596,0,-11212.37645596,49340073.997991,0.09,12166.0456433402,2373.501344,61.631110290662,"in-between"
2021-04-23,1043125.31931335,1051106.31043335,0,-7980.99111999699,49332093.006871,0.09,12164.0777277216,2426.07115,63.530677268259,"in-between"
2021-04-24,779009.416383313,903414.320857519,0,-124404.904474206,49207688.1023968,0.09,12133.4025457965,2364.231204,59.7813081019658,"in-between"
